ORDEN,PEATON,AUTOMOVIL,CAMPAERO,CAMIONETA,MICRO,BUSETA,BUS,CAMION,VOLQUETA,MOTO,BICICLETA,DIURNIO/NOCTURNO,GRAVEDAD
3,0,0,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
5,1,0,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
6,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Solo Daños
7,1,0,0,0,1,0,0,0,0,0,0,Diurno,Con Heridos
8,0,0,0,2,0,0,0,0,0,0,0,Nocturno,Solo Daños
9,0,1,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
10,0,1,0,0,0,0,0,0,0,0,0,Diurno,Con Heridos
11,0,2,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
12,0,0,0,0,0,0,0,1,0,1,0,Diurno,Solo Daños
13,0,0,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
14,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
15,0,0,0,0,0,0,0,0,1,1,0,Diurno,Con Heridos
16,0,0,0,0,1,0,0,1,0,0,0,Nocturno,Solo Daños
17,0,0,0,1,0,0,0,0,0,1,0,Nocturno,Solo Daños
18,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
19,0,1,0,0,0,0,0,0,0,1,0,Diurno,Con Heridos
20,0,1,0,1,0,0,0,0,0,0,0,Nocturno,Solo Daños
21,0,3,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
22,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
23,0,1,0,0,0,0,0,0,0,0,0,Diurno,Solo Daños
24,0,1,0,1,0,0,0,0,0,0,0,Diurno,Solo Daños
25,0,0,0,0,0,0,0,0,0,2,0,Nocturno,Con Heridos
26,0,1,0,0,0,0,0,0,0,0,0,Nocturno,Solo Daños
27,0,0,1,0,0,0,0,0,0,1,0,Diurno,Con Heridos
28,0,1,0,0,0,0,0,0,0,1,0,Diurno,Solo Daños
29,0,1,0,0,0,0,0,0,0,1,0,Nocturno,Con Heridos
